Gene_Symbol	MutSig	MuSiC	Oncodrive	TUSON	DOTS_Finder	Vogelstein	PipelineCalls
ACVR2A	NA	NA	NA	NA	x		1
ARID1A	NA	NA	NA	NA	x	x	2
ARID2	NA	NA	NA	NA	x	x	2
AXIN1	NA	NA	NA	NA	x	x	2
BRD7	NA	NA	NA	NA	x		1
CTNNB1	NA	NA	NA	NA	x	x	2
ERRFI1	NA	NA	NA	NA	x		1
FBF1	NA	NA	NA	NA	x		1
IGSF10	NA	NA	NA	NA	x		1
NFE2L2	NA	NA	NA	NA	x	x	2
RPS6KA3	NA	NA	NA	NA	x		1
SIGLEC12	NA	NA	NA	NA	x		1
TP53	NA	NA	NA	NA	x	x	2
UBR3	NA	NA	NA	NA	x		1
USP25	NA	NA	NA	NA	x		1
VIM	NA	NA	NA	NA	x		1
WWP1	NA	NA	NA	NA	x		1
ZNF226	NA	NA	NA	NA	x		1
ZNF804B	NA	NA	NA	NA	x		1
